id,fabric_general_region,fabric_specific_region,fabric_style_1,shape_generic,shape_specific,date_image_collected,potter,image_collector
M0001,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0002,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0003,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0004,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0005,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0006,lesvos,"mantamados, agios stephanos",mantamados,amphora_double_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0008,lesvos,"mantamados, agios stephanos",mantamados,amphora_double_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0009,lesvos,"mantamados, agios stephanos",mantamados,amphora_double_handle,small,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0010,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0011,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0012,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0013,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0014,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0015,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0016,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0017,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0018,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0019,lesvos,"mantamados, agios stephanos",mantamados,amphora_double_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0020,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0021,lesvos,"mantamados, agios stephanos",mantamados,amphora_double_handle,large,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0023,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0024,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0025,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0026,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0027,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
M0028,lesvos,"mantamados, agios stephanos",mantamados,amphora_single_handle,medium,04_09_2019,Dimitris Kouvdis,Armand Leroi & Giorgos Kokkoris
